,chainlength,barrier_content,degenerate_barrier_content,degenerate_adjacent_score,cell_chain,internal_chainlength,barrier_fraction,imagename,source_cell,target_cell,vertex,object,weighted_barrier_content,binary_barrier,adjacent_barrier
447,3,0,0.0,0.0,"['Epithelial cells', 'Mesenchymal cells', 'CD4 T cells']",1,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8004,8014,0.0,0,0
448,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8016,8055,0.0,0,0
449,3,0,0.0,0.0,"['Epithelial cells', 'Mesenchymal cells', 'CD4 T cells']",1,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8040,8020,0.0,0,0
450,3,0,0.0,0.0,"['Epithelial cells', 'Mesenchymal cells', 'CD4 T cells']",1,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8114,8098,0.0,0,0
451,3,0,0.5,0.5,"['Epithelial cells', 'CD4 T cells', 'CD4 T cells']",1,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8153,8198,0.0,0,0
452,3,0,0.0,0.0,"['Epithelial cells', 'CD8 T cells', 'CD4 T cells']",1,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8165,8186,0.0,0,0
453,7,0,0.0,0.0,"['Epithelial cells', 'Endothelial cells', 'Mesenchymal cells', 'Mesenchymal cells', 'CD4 T cells', 'CD4 T cells', 'CD4 T cells']",5,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8169,8191,0.0,0,0
454,5,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells', 'Mesenchymal cells', 'Mesenchymal cells', 'CD4 T cells']",3,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8171,8229,0.0,0,0
455,3,1,1.0,1.0,"['Epithelial cells', 'Myofibroblasts', 'CD4 T cells']",1,1.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8182,8180,1.0,1,1
456,3,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells', 'CD4 T cells']",1,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8188,8161,0.0,0,0
457,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8191,8240,0.0,0,0
458,5,3,1.0,1.0,"['Epithelial cells', 'Myofibroblasts', 'Myofibroblasts', 'Myofibroblasts', 'CD4 T cells']",3,1.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8208,8219,1.8333333333333333,1,1
459,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8227,8257,0.0,0,0
460,5,0,0.0,0.0,"['Epithelial cells', 'Endothelial cells', 'Unassigned', 'Unassigned', 'CD4 T cells']",3,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8230,8249,0.0,0,0
461,3,1,1.0,1.0,"['Epithelial cells', 'Myofibroblasts', 'CD4 T cells']",1,1.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8240,8281,1.0,1,1
462,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8245,8245,0.0,0,0
463,3,0,0.0,0.0,"['Epithelial cells', 'Mesenchymal cells', 'CD4 T cells']",1,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8340,8358,0.0,0,0
464,3,0,0.0,0.0,"['Epithelial cells', 'Cytotoxic CD8 T cells', 'CD4 T cells']",1,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8372,8466,0.0,0,0
465,3,0,0.0,0.0,"['Epithelial cells', 'Mesenchymal cells', 'CD4 T cells']",1,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8455,8372,0.0,0,0
466,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8475,8473,0.0,0,0
467,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8479,8436,0.0,0,0
468,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8505,8681,0.0,0,0
469,3,0,0.0,0.0,"['Epithelial cells', 'Mesenchymal cells', 'CD4 T cells']",1,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8512,8490,0.0,0,0
470,5,3,0.5,0.25,"['Epithelial cells', 'Myofibroblasts', 'Myofibroblasts', 'Myofibroblasts', 'CD4 T cells']",3,1.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8537,8503,1.8333333333333333,1,1
471,3,0,0.0,0.0,"['Epithelial cells', 'Unassigned', 'CD4 T cells']",1,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8601,8623,0.0,0,0
472,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8626,8709,0.0,0,0
473,3,0,0.0,0.0,"['Epithelial cells', 'Endothelial cells', 'CD4 T cells']",1,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8642,8667,0.0,0,0
474,5,0,0.0,0.0,"['Epithelial cells', 'Mesenchymal cells', 'Mesenchymal cells', 'Mesenchymal cells', 'CD4 T cells']",3,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8663,8672,0.0,0,0
475,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8709,8693,0.0,0,0
476,3,0,0.0,0.0,"['Epithelial cells', 'Mesenchymal cells', 'CD4 T cells']",1,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8753,8722,0.0,0,0
477,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8767,8805,0.0,0,0
478,3,1,1.0,1.0,"['Epithelial cells', 'Myofibroblasts', 'CD4 T cells']",1,1.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8791,8900,1.0,1,1
479,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8954,8975,0.0,0,0
480,7,0,0.0,0.0,"['Epithelial cells', 'Mesenchymal cells', 'Mesenchymal cells', 'Mesenchymal cells', 'Mesenchymal cells', 'Mesenchymal cells', 'CD4 T cells']",5,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8956,8995,0.0,0,0
481,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8976,9056,0.0,0,0
482,5,0,0.16666666666666666,0.3333333333333333,"['Epithelial cells', 'Mesenchymal cells', 'CD4 T cells', 'CD4 T cells', 'CD4 T cells']",3,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8984,8993,0.0,0,0
483,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,8989,9049,0.0,0,0
484,3,0,0.0,0.0,"['Epithelial cells', 'Mesenchymal cells', 'CD4 T cells']",1,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9000,9001,0.0,0,0
485,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9004,9045,0.0,0,0
486,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9010,9062,0.0,0,0
487,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9026,9042,0.0,0,0
488,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9040,9028,0.0,0,0
489,3,0,0.0,0.0,"['Epithelial cells', 'Mesenchymal cells', 'CD4 T cells']",1,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9050,9150,0.0,0,0
490,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9065,9124,0.0,0,0
491,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9122,9127,0.0,0,0
492,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9123,9160,0.0,0,0
493,3,0,0.0,0.0,"['Epithelial cells', 'CD8 Trm', 'CD4 T cells']",1,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9126,9153,0.0,0,0
494,3,0,0.0,0.0,"['Epithelial cells', 'Mesenchymal cells', 'CD4 T cells']",1,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9199,9215,0.0,0,0
495,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9201,9209,0.0,0,0
496,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9216,9223,0.0,0,0
497,5,2,0.5,0.0,"['Epithelial cells', 'Endothelial cells', 'Myofibroblasts', 'Myofibroblasts', 'CD4 T cells']",3,0.6666666666666666,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9250,9321,0.8333333333333333,1,0
498,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9255,9310,0.0,0,0
499,3,0,0.0,0.0,"['Epithelial cells', 'Unassigned', 'CD4 T cells']",1,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9257,9303,0.0,0,0
500,3,0,0.0,0.0,"['Epithelial cells', 'Mesenchymal cells', 'CD4 T cells']",1,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9282,9301,0.0,0,0
501,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9308,9328,0.0,0,0
502,3,1,0.5,0.5,"['Epithelial cells', 'Myofibroblasts', 'CD4 T cells']",1,1.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9321,9356,1.0,1,1
503,3,0,0.0,0.0,"['Epithelial cells', 'Endothelial cells', 'CD4 T cells']",1,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9340,9433,0.0,0,0
504,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9399,9438,0.0,0,0
505,3,0,0.0,0.0,"['Epithelial cells', 'Mesenchymal cells', 'CD4 T cells']",1,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9420,9430,0.0,0,0
506,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,9636,9670,0.0,0,0
